State,County,Poverty Estimate,Poverty Percent,No Service,Few Services,Restricted Services,Full Service,Population
Alabama,Autauga,6242,11.2,0,0,0,0,55639
Alabama,Baldwin,20189,8.9,0,2,0,0,218289
Alabama,Barbour,5548,25.5,1,0,0,0,25026
Alabama,Bibb,3549,17.8,0,1,0,0,22374
Alabama,Blount,7525,13.1,1,0,0,0,57755
Alabama,Bullock,2552,30.8,0,0,0,0,10173
Alabama,Butler,3954,20.6,0,0,0,0,19726
Alabama,Calhoun,15915,14.5,0,1,0,0,114324
Alabama,Chambers,5266,16.3,0,1,0,0,33427
Alabama,Cherokee,3827,14.7,0,0,0,0,26035
Alabama,Chilton,6094,13.9,0,1,0,0,44147
Alabama,Choctaw,2506,20.4,0,0,0,0,12755
Alabama,Clarke,4471,19.5,0,1,0,0,23866
Alabama,Clay,1818,14.2,0,0,0,0,13285
Alabama,Cleburne,2099,14.2,0,0,0,0,14952
Alabama,Coffee,7303,13.9,0,1,0,0,52238
Alabama,Colbert,7864,14.4,0,0,0,0,54957
Alabama,Conecuh,2701,22.9,0,0,0,0,12219
Alabama,Coosa,1808,17.4,0,0,0,0,10696
Alabama,Covington,6219,17.1,0,1,0,0,37096
Alabama,Crenshaw,2262,16.8,0,0,0,0,13826
Alabama,Cullman,10381,12.5,0,1,0,0,83345
Alabama,Dale,7440,15.5,1,1,0,0,49293
Alabama,Dallas,9471,26.7,0,1,0,0,38184
Alabama,DeKalb,10778,15.2,0,1,0,0,71430
Alabama,Elmore,8972,11.5,0,2,0,0,81526
Alabama,Escambia,6892,20.4,0,1,0,0,36775
Alabama,Etowah,15650,15.6,0,1,0,0,102721
Alabama,Fayette,2640,16.5,1,0,0,0,16406
Alabama,Franklin,5357,17.2,0,0,0,0,31587
Alabama,Geneva,5492,21.0,0,0,0,0,26383
Alabama,Greene,2210,27.9,0,0,0,0,8221
Alabama,Hale,3166,21.9,0,0,0,0,14754
Alabama,Henry,2743,16.2,0,0,0,0,17123
Alabama,Houston,15534,14.8,0,0,0,0,105319
Alabama,Jackson,7777,15.3,0,1,0,0,51765
Alabama,Jefferson,92310,14.4,0,6,1,0,658615
Alabama,Lamar,2348,17.4,0,0,0,0,13854
Alabama,Lauderdale,12630,13.9,0,1,0,0,92870
Alabama,Lawrence,5005,15.4,0,0,0,0,32969
Alabama,Lee,28901,17.9,0,1,0,0,163461
Alabama,Limestone,10285,10.4,0,1,0,0,96921
Alabama,Lowndes,2083,21.9,0,0,0,0,9936
Alabama,Macon,4543,27.9,0,0,0,0,18437
Alabama,Madison,39100,10.5,0,1,1,0,367686
Alabama,Marengo,3370,18.3,1,0,0,0,19138
Alabama,Marion,4843,16.8,0,0,0,0,29818
Alabama,Marshall,14754,15.4,0,2,0,0,96137
Alabama,Mobile,71398,17.6,1,2,1,0,413977
Alabama,Monroe,4552,22.5,0,0,0,0,21006
Alabama,Montgomery,44058,20.4,0,2,1,0,226451
Alabama,Morgan,16995,14.4,0,0,0,0,119352
Alabama,Perry,2443,30.7,0,0,0,0,9104
Alabama,Pickens,4050,22.7,0,0,0,0,20049
Alabama,Pike,6101,19.7,0,0,0,0,33274
Alabama,Randolph,3933,17.5,0,0,0,0,22732
Alabama,Russell,11702,20.3,0,0,0,0,57938
Alabama,Shelby,15227,7.0,0,2,0,0,216350
Alabama,St.Clair,9384,10.5,0,2,0,0,88929
Alabama,Sumter,3338,29.2,0,0,0,0,12595
Alabama,Talladega,12958,16.9,0,1,0,0,80244
Alabama,Tallapoosa,6004,15.2,2,0,0,0,40450
Alabama,Tuscaloosa,28776,14.4,0,1,1,0,208854
Alabama,Walker,10219,16.4,0,1,0,0,63802
Alabama,Washington,2769,17.5,0,0,0,0,16336
Alabama,Wilcox,2240,22.2,0,0,0,0,10552
Alabama,Winston,4036,17.4,0,0,0,0,23712
Alaska,AleutiansEast,514,15.1,0,0,0,0,3389
Alaska,Aleutians West Census Area,443,8.1,0,0,0,0,5708
Alaska,Anchorage Municipality,23200,8.3,0,0,0,0,292090
Alaska,Bethel Census Area,4567,25.3,0,0,0,0,18263
Alaska,Bristol Bay,82,10.7,0,0,0,0,739
Alaska,Chugach Census Area,441,7.0,0,0,0,0,6495
Alaska,Copper River Census Area,368,12.7,0,0,0,0,2894
Alaska,Denali,127,6.4,0,0,0,0,2502
Alaska,Dillingham Census Area,894,18.7,0,0,0,0,4934
Alaska,Fairbanks North Star,6565,7.2,0,0,0,0,98455
Alaska,Haines,251,9.6,0,0,0,0,2547
Alaska,Hoonah-Angoon Census Area,271,12.7,0,0,0,0,2135
Alaska,Juneau City and Municipality,2510,8.1,0,0,0,0,32099
Alaska,Kenai Peninsula,6171,10.6,0,0,0,0,58809
Alaska,Ketchikan Gateway,1127,8.3,0,0,0,0,13833
Alaska,Kodiak Island,957,7.5,0,0,0,0,13383
Alaska,Kusilvak Census Area,2305,27.9,0,0,0,0,8298
Alaska,Lake and Peninsula,261,17.6,0,0,0,0,1156
Alaska,Matanuska-Susitna,9365,8.7,0,0,0,0,107360
Alaska,Nome Census Area,1825,18.8,0,0,0,0,10009
Alaska,North Slope,1025,11.1,0,0,0,0,9375
Alaska,Northwest Arctic,1397,18.5,0,0,0,0,7709
Alaska,Petersburg,242,7.4,0,0,0,0,3278
Alaska,Prince of Wales-Hyder Census Area,975,15.9,0,0,0,0,6338
Alaska,Sitka City and Municipality,609,7.4,0,0,0,0,8569
Alaska,Skagway Municipality,45,3.8,0,0,0,0,1300
Alaska,Southeast Fairbanks Census Area,805,11.7,0,0,0,0,6911
Alaska,Wrangell City and Municipality,264,10.6,0,0,0,0,2510
Alaska,Yakutat City and Municipality,79,12.4,0,0,0,0,597
Alaska,Yukon-Koyukuk Census Area,1029,20.5,0,0,0,0,5305
Arizona,Apache,22939,32.4,0,1,0,0,71714
Arizona,Cochise,17815,14.6,0,1,0,0,126442
Arizona,Coconino,22540,17.2,0,1,1,0,142254
Arizona,Gila,8911,16.7,1,0,0,0,53846
Arizona,Graham,5523,15.2,0,0,0,0,38304
Arizona,Greenlee,776,8.4,0,0,0,0,9465
Arizona,LaPaz,4405,20.8,1,0,0,0,21035
Arizona,Maricopa,520797,11.6,8,11,5,0,4412779
Arizona,Mohave,32550,15.3,1,1,0,0,210998
Arizona,Navajo,25532,23.3,0,3,0,0,110271
Arizona,Pima,154790,14.9,1,7,1,0,1038476
Arizona,Pinal,50810,11.1,4,0,0,0,447559
Arizona,SantaCruz,7810,16.8,0,0,0,0,46594
Arizona,Yavapai,25610,10.8,3,2,0,0,232396
Arizona,Yuma,31745,15.2,0,1,0,0,211931
Arkansas,Arkansas,2940,17.2,0,1,0,0,17761
Arkansas,Ashley,3279,17.1,0,0,0,0,20000
Arkansas,Baxter,6013,14.4,0,1,0,0,41673
Arkansas,Benton,25970,9.1,0,2,0,0,273510
Arkansas,Boone,5255,14.1,0,1,0,0,37525
Arkansas,Bradley,2156,20.6,1,0,0,0,10805
Arkansas,Calhoun,798,16.2,0,0,0,0,5160
Arkansas,Carroll,3935,14.1,1,0,0,0,28062
Arkansas,Chicot,2467,26.8,0,0,0,0,10433
Arkansas,Clark,3830,20.1,0,1,0,0,22341
Arkansas,Clay,2577,18.1,0,0,0,0,14710
Arkansas,Cleburne,3563,14.5,0,0,0,0,25063
Arkansas,Cleveland,1086,13.8,0,0,0,0,8063
Arkansas,Columbia,3857,18.3,0,1,0,0,23620
Arkansas,Conway,3273,15.8,0,1,0,0,20895
Arkansas,Craighead,18130,16.8,0,1,0,0,109081
Arkansas,Crawford,9012,14.4,0,0,0,0,63118
Arkansas,Crittenden,10671,22.9,0,1,0,0,48381
Arkansas,Cross,3357,21.2,0,0,0,0,16576
Arkansas,Dallas,1244,19.5,1,0,0,0,7114
Arkansas,Desha,2507,22.8,0,0,0,0,11538
Arkansas,Drew,3152,18.4,1,0,0,0,18263
Arkansas,Faulkner,14653,12.0,0,1,0,0,124800
Arkansas,Franklin,2692,15.3,0,0,0,0,17785
Arkansas,Fulton,2077,17.0,0,0,0,0,12301
Arkansas,Garland,15359,15.7,0,1,0,0,99043
Arkansas,Grant,1809,9.9,0,0,0,0,18229
Arkansas,Greene,7696,17.1,0,1,0,0,45197
Arkansas,Hempstead,3914,18.7,0,0,0,0,21695
Arkansas,HotSpring,4709,14.9,0,1,0,0,33667
Arkansas,Howard,2150,16.7,0,0,0,0,13267
Arkansas,Independence,5499,15.0,0,1,0,0,37585
Arkansas,Izard,2539,20.1,0,0,0,0,13596
Arkansas,Jackson,3344,23.1,1,0,0,0,16908
Arkansas,Jefferson,11303,18.9,0,1,0,0,68123
Arkansas,Johnson,4465,17.3,0,1,0,0,26475
Arkansas,Lafayette,1289,19.8,0,0,0,0,6728
Arkansas,Lawrence,3006,19.2,0,0,0,0,16511
Arkansas,Lee,2527,36.8,0,0,0,0,8963
Arkansas,Lincoln,2223,23.6,0,0,0,0,13278
Arkansas,LittleRiver,1943,16.2,0,0,0,0,12345
Arkansas,Logan,3308,15.8,0,0,0,0,21619
Arkansas,Lonoke,7974,10.9,0,2,0,0,73163
Arkansas,Madison,2797,16.9,0,0,0,0,16393
Arkansas,Marion,3165,19.1,0,0,0,0,16586
Arkansas,Miller,8050,19.2,0,0,0,0,43515
Arkansas,Mississippi,8235,21.0,1,0,0,0,41396
Arkansas,Monroe,1543,23.8,0,0,0,0,6879
Arkansas,Montgomery,1666,18.8,0,0,0,0,8964
Arkansas,Nevada,1512,19.1,0,0,0,0,8249
Arkansas,Newton,1406,18.7,0,0,0,0,7753
Arkansas,Ouachita,4669,20.5,0,1,0,0,23597
Arkansas,Perry,1506,14.7,0,1,0,0,10342
Arkansas,Phillips,3767,22.1,0,0,0,0,18151
Arkansas,Pike,1932,18.6,0,0,0,0,10714
Arkansas,Poinsett,4857,21.2,0,0,0,0,23747
Arkansas,Polk,3538,18.1,1,0,0,0,19999
Arkansas,Pope,8552,14.1,0,1,0,0,63926
Arkansas,Prairie,1137,14.5,0,0,0,0,8138
Arkansas,Pulaski,59031,15.3,1,2,2,0,393078
Arkansas,Randolph,2912,16.3,0,0,0,0,17934
Arkansas,Saline,10057,8.2,0,1,0,0,120990
Arkansas,Scott,1756,17.5,0,0,0,0,10269
Arkansas,Searcy,1732,22.3,0,0,0,0,7898
Arkansas,Sebastian,21137,16.8,1,1,0,0,127670
Arkansas,Sevier,2755,16.7,0,0,0,0,16947
Arkansas,Sharp,3110,18.1,0,1,0,0,17217
Arkansas,St. Francis,6199,30.1,0,0,0,0,25477
Arkansas,Stone,2513,20.1,0,0,0,0,12582
Arkansas,Union,6381,16.9,0,1,0,0,39089
Arkansas,VanBuren,2674,16.4,0,0,0,0,16578
Arkansas,Washington,30994,13.2,0,1,1,0,236198
Arkansas,White,11176,14.8,0,2,0,0,78725
Arkansas,Woodruff,1386,22.6,0,0,0,0,6477
Arkansas,Yell,2971,14.3,0,0,0,0,21425
California,Alameda,139636,8.6,2,2,0,5,1661584
California,Alpine,159,14.3,0,0,0,0,1159
California,Amador,3678,10.3,1,0,0,0,39023
California,Butte,35963,17.3,1,1,0,2,223344
California,Calaveras,5310,11.6,1,0,0,0,45828
California,Colusa,2200,10.3,0,0,0,0,21491
California,Contra Costa,82136,7.2,2,1,0,8,1147788
California,Del Norte,4604,18.5,1,0,0,0,27692
California,El Dorado,15992,8.4,1,0,0,0,190345
California,Fresno,168153,17.1,0,2,0,3,990204
California,Glenn,3470,12.4,0,0,0,0,28060
California,Humboldt,20847,15.8,1,1,0,1,136101
California,Imperial,31134,18.1,1,0,0,1,180580
California,Inyo,1940,10.9,0,0,0,0,17930
California,Kern,159609,18.3,2,3,0,1,892458
California,Kings,19874,14.5,1,0,0,0,151090
California,Lake,10131,15.9,0,0,0,1,64276
California,Lassen,3555,15.5,1,0,0,0,30600
California,Los Angeles,1289368,13.2,7,16,0,32,10040682
California,Madera,21211,14.1,3,0,0,1,155925
California,Marin,15119,6.0,0,1,0,1,259441
California,Mariposa,2258,13.3,1,0,0,0,17319
California,Mendocino,12099,14.3,0,1,0,1,87110
California,Merced,44302,16.3,0,1,0,0,273661
California,Modoc,1529,17.9,0,0,0,0,8853
California,Mono,1285,9.0,0,0,0,0,14395
California,Monterey,47870,11.6,0,2,0,2,432977
California,Napa,10356,7.9,1,0,0,1,138572
California,Nevada,9040,9.2,0,1,0,1,99417
California,Orange,280128,9.0,1,6,0,7,3170345
California,Placer,25815,6.5,0,1,0,1,391799
California,Plumas,2509,13.5,0,0,0,0,18844
California,Riverside,275176,11.2,2,8,0,6,2437864
California,Sacramento,192386,12.5,0,2,0,4,1537948
California,San Benito,5025,7.9,0,1,0,0,61547
California,San Bernardino,308021,14.3,3,3,0,3,2162532
California,San Diego,306807,9.5,3,13,0,12,3323970
California,San Francisco,85356,10.0,0,1,0,2,874784
California,San Joaquin,104295,13.9,1,4,0,2,751615
California,San Luis Obispo,28338,10.6,1,1,0,1,282517
California,San Mateo,41158,5.5,0,1,0,2,765623
