State,County,Poverty Estimate,Poverty Percent
Alabama,Autauga,"6,242",11.2
Alabama,Baldwin,"20,189",8.9
Alabama,Barbour,"5,548",25.5
Alabama,Bibb,"3,549",17.8
Alabama,Blount,"7,525",13.1
Alabama,Bullock,"2,552",30.8
Alabama,Butler,"3,954",20.6
Alabama,Calhoun,"15,915",14.5
Alabama,Chambers,"5,266",16.3
Alabama,Cherokee,"3,827",14.7
Alabama,Chilton,"6,094",13.9
Alabama,Choctaw,"2,506",20.4
Alabama,Clarke,"4,471",19.5
Alabama,Clay,"1,818",14.2
Alabama,Cleburne,"2,099",14.2
Alabama,Coffee,"7,303",13.9
Alabama,Colbert,"7,864",14.4
Alabama,Conecuh,"2,701",22.9
Alabama,Coosa,"1,808",17.4
Alabama,Covington,"6,219",17.1
Alabama,Crenshaw,"2,262",16.8
Alabama,Cullman,"10,381",12.5
Alabama,Dale,"7,440",15.5
Alabama,Dallas,"9,471",26.7
Alabama,DeKalb,"10,778",15.2
Alabama,Elmore,"8,972",11.5
Alabama,Escambia,"6,892",20.4
Alabama,Etowah,"15,650",15.6
Alabama,Fayette,"2,640",16.5
Alabama,Franklin,"5,357",17.2
Alabama,Geneva,"5,492",21.0
Alabama,Greene,"2,210",27.9
Alabama,Hale,"3,166",21.9
Alabama,Henry,"2,743",16.2
Alabama,Houston,"15,534",14.8
Alabama,Jackson,"7,777",15.3
Alabama,Jefferson,"92,310",14.4
Alabama,Lamar,"2,348",17.4
Alabama,Lauderdale,"12,630",13.9
Alabama,Lawrence,"5,005",15.4
Alabama,Lee,"28,901",17.9
Alabama,Limestone,"10,285",10.4
Alabama,Lowndes,"2,083",21.9
Alabama,Macon,"4,543",27.9
Alabama,Madison,"39,100",10.5
Alabama,Marengo,"3,370",18.3
Alabama,Marion,"4,843",16.8
Alabama,Marshall,"14,754",15.4
Alabama,Mobile,"71,398",17.6
Alabama,Monroe,"4,552",22.5
Alabama,Montgomery,"44,058",20.4
Alabama,Morgan,"16,995",14.4
Alabama,Perry,"2,443",30.7
Alabama,Pickens,"4,050",22.7
Alabama,Pike,"6,101",19.7
Alabama,Randolph,"3,933",17.5
Alabama,Russell,"11,702",20.3
Alabama,St. Clair,"9,384",10.5
Alabama,Shelby,"15,227",7.0
Alabama,Sumter,"3,338",29.2
Alabama,Talladega,"12,958",16.9
Alabama,Tallapoosa,"6,004",15.2
Alabama,Tuscaloosa,"28,776",14.4
Alabama,Walker,"10,219",16.4
Alabama,Washington,"2,769",17.5
Alabama,Wilcox,"2,240",22.2
Alabama,Winston,"4,036",17.4
Alaska,Aleutians East Borough,514,15.1
Alaska,Aleutians West Census Area,443,8.1
Alaska,Anchorage Borough,"23,200",8.3
Alaska,Bethel Census Area,"4,567",25.3
Alaska,Bristol Bay Borough,82,10.7
Alaska,Chugach Census Area,441,7.0
Alaska,Copper River Census Area,368,12.7
Alaska,Denali Borough,127,6.4
Alaska,Dillingham Census Area,894,18.7
Alaska,Fairbanks North Star Borough,"6,565",7.2
Alaska,Haines Borough,251,9.6
Alaska,Hoonah-Angoon Census Area,271,12.7
Alaska,Juneau Borough,"2,510",8.1
Alaska,Kenai Peninsula Borough,"6,171",10.6
Alaska,Ketchikan Gateway Borough,"1,127",8.3
Alaska,Kodiak Island Borough,957,7.5
Alaska,Kusilvak Census Area,"2,305",27.9
Alaska,Lake and Peninsula Borough,261,17.6
Alaska,Matanuska-Susitna Borough,"9,365",8.7
Alaska,Nome Census Area,"1,825",18.8
Alaska,North Slope Borough,"1,025",11.1
Alaska,Northwest Arctic Borough,"1,397",18.5
Alaska,Petersburg Borough,242,7.4
Alaska,Prince of Wales-Hyder Census Area,975,15.9
Alaska,Sitka Borough,609,7.4
Alaska,Skagway Municipality,45,3.8
Alaska,Southeast Fairbanks Census Area,805,11.7
Alaska,Wrangell City and Borough,264,10.6
Alaska,Yakutat Borough,79,12.4
Alaska,Yukon-Koyukuk Census Area,"1,029",20.5
Arizona,Apache,"22,939",32.4
Arizona,Cochise,"17,815",14.6
Arizona,Coconino,"22,540",17.2
Arizona,Gila,"8,911",16.7
Arizona,Graham,"5,523",15.2
Arizona,Greenlee,776,8.4
Arizona,La Paz,"4,405",20.8
Arizona,Maricopa,"520,797",11.6
Arizona,Mohave,"32,550",15.3
Arizona,Navajo,"25,532",23.3
Arizona,Pima,"154,790",14.9
Arizona,Pinal,"50,810",11.1
Arizona,Santa Cruz,"7,810",16.8
Arizona,Yavapai,"25,610",10.8
Arizona,Yuma,"31,745",15.2
Arkansas,Arkansas,"448,665",15.2
Arkansas,Arkansas,"2,940",17.2
Arkansas,Ashley,"3,279",17.1
Arkansas,Baxter,"6,013",14.4
Arkansas,Benton,"25,970",9.1
Arkansas,Boone,"5,255",14.1
Arkansas,Bradley,"2,156",20.6
Arkansas,Calhoun,798,16.2
Arkansas,Carroll,"3,935",14.1
Arkansas,Chicot,"2,467",26.8
Arkansas,Clark,"3,830",20.1
Arkansas,Clay,"2,577",18.1
Arkansas,Cleburne,"3,563",14.5
Arkansas,Cleveland,"1,086",13.8
Arkansas,Columbia,"3,857",18.3
Arkansas,Conway,"3,273",15.8
