State,County,Poverty Estimate,Poverty Percent,No Service,Few Services,Restricted Services,Full Service
Alabama,Autauga,"6,242",11.2,0,0,0,0
Alabama,Baldwin,"20,189",8.9,0,2,0,0
Alabama,Barbour,"5,548",25.5,1,0,0,0
Alabama,Bibb,"3,549",17.8,0,1,0,0
Alabama,Blount,"7,525",13.1,1,0,0,0
Alabama,Bullock,"2,552",30.8,0,0,0,0
Alabama,Butler,"3,954",20.6,0,0,0,0
Alabama,Calhoun,"15,915",14.5,0,1,0,0
Alabama,Chambers,"5,266",16.3,0,1,0,0
Alabama,Cherokee,"3,827",14.7,0,0,0,0
Alabama,Chilton,"6,094",13.9,0,1,0,0
Alabama,Choctaw,"2,506",20.4,0,0,0,0
Alabama,Clarke,"4,471",19.5,0,1,0,0
Alabama,Clay,"1,818",14.2,0,0,0,0
Alabama,Cleburne,"2,099",14.2,0,0,0,0
Alabama,Coffee,"7,303",13.9,0,1,0,0
Alabama,Colbert,"7,864",14.4,0,0,0,0
Alabama,Conecuh,"2,701",22.9,0,0,0,0
Alabama,Coosa,"1,808",17.4,0,0,0,0
Alabama,Covington,"6,219",17.1,0,1,0,0
Alabama,Crenshaw,"2,262",16.8,0,0,0,0
Alabama,Cullman,"10,381",12.5,0,1,0,0
Alabama,Dale,"7,440",15.5,1,1,0,0
Alabama,Dallas,"9,471",26.7,0,1,0,0
Alabama,DeKalb,"10,778",15.2,0,1,0,0
Alabama,Elmore,"8,972",11.5,0,2,0,0
Alabama,Escambia,"6,892",20.4,0,1,0,0
Alabama,Etowah,"15,650",15.6,0,1,0,0
Alabama,Fayette,"2,640",16.5,1,0,0,0
Alabama,Franklin,"5,357",17.2,0,0,0,0
Alabama,Geneva,"5,492",21,0,0,0,0
Alabama,Greene,"2,210",27.9,0,0,0,0
Alabama,Hale,"3,166",21.9,0,0,0,0
Alabama,Henry,"2,743",16.2,0,0,0,0
Alabama,Houston,"15,534",14.8,0,0,0,0
Alabama,Jackson,"7,777",15.3,0,1,0,0
Alabama,Jefferson,"92,310",14.4,0,6,1,0
Alabama,Lamar,"2,348",17.4,0,0,0,0
Alabama,Lauderdale,"12,630",13.9,0,1,0,0
Alabama,Lawrence,"5,005",15.4,0,0,0,0
Alabama,Lee,"28,901",17.9,0,1,0,0
Alabama,Limestone,"10,285",10.4,0,1,0,0
Alabama,Lowndes,"2,083",21.9,0,0,0,0
Alabama,Macon,"4,543",27.9,0,0,0,0
Alabama,Madison,"39,100",10.5,0,1,1,0
Alabama,Marengo,"3,370",18.3,1,0,0,0
Alabama,Marion,"4,843",16.8,0,0,0,0
Alabama,Marshall,"14,754",15.4,0,2,0,0
Alabama,Mobile,"71,398",17.6,1,2,1,0
Alabama,Monroe,"4,552",22.5,0,0,0,0
Alabama,Montgomery,"44,058",20.4,0,2,1,0
Alabama,Morgan,"16,995",14.4,0,0,0,0
Alabama,Perry,"2,443",30.7,0,0,0,0
Alabama,Pickens,"4,050",22.7,0,0,0,0
Alabama,Pike,"6,101",19.7,0,0,0,0
Alabama,Randolph,"3,933",17.5,0,0,0,0
Alabama,Russell,"11,702",20.3,0,0,0,0
Alabama,Shelby,"15,227",7,0,2,0,0
Alabama,St. Clair,"9,384",10.5,0,2,0,0
Alabama,Sumter,"3,338",29.2,0,0,0,0
Alabama,Talladega,"12,958",16.9,0,1,0,0
Alabama,Tallapoosa,"6,004",15.2,2,0,0,0
Alabama,Tuscaloosa,"28,776",14.4,0,1,1,0
Alabama,Walker,"10,219",16.4,0,1,0,0
Alabama,Washington,"2,769",17.5,0,0,0,0
Alabama,Wilcox,"2,240",22.2,0,0,0,0
Alabama,Winston,"4,036",17.4,0,0,0,0
Alaska,Aleutians East Borough,514,15.1,0,0,0,0
Alaska,Aleutians West Census Area,443,8.1,0,0,0,0
Alaska,Anchorage Borough,"23,200",8.3,0,0,0,0
Alaska,Bethel Census Area,"4,567",25.3,0,0,0,0
Alaska,Bristol Bay Borough,82,10.7,0,0,0,0
Alaska,Chugach Census Area,441,7,0,0,0,0
Alaska,Copper River Census Area,368,12.7,0,0,0,0
Alaska,Denali Borough,127,6.4,0,0,0,0
Alaska,Dillingham Census Area,894,18.7,0,0,0,0
Alaska,Fairbanks North Star Borough,"6,565",7.2,0,0,0,0
Alaska,Haines Borough,251,9.6,0,0,0,0
Alaska,Hoonah-Angoon Census Area,271,12.7,0,0,0,0
Alaska,Juneau Borough,"2,510",8.1,0,0,0,0
Alaska,Kenai Peninsula Borough,"6,171",10.6,0,0,0,0
Alaska,Ketchikan Gateway Borough,"1,127",8.3,0,0,0,0
Alaska,Kodiak Island Borough,957,7.5,0,0,0,0
Alaska,Kusilvak Census Area,"2,305",27.9,0,0,0,0
Alaska,Lake and Peninsula Borough,261,17.6,0,0,0,0
Alaska,Matanuska-Susitna Borough,"9,365",8.7,0,0,0,0
Alaska,Nome Census Area,"1,825",18.8,0,0,0,0
Alaska,North Slope Borough,"1,025",11.1,0,0,0,0
Alaska,Northwest Arctic Borough,"1,397",18.5,0,0,0,0
Alaska,Petersburg Borough,242,7.4,0,0,0,0
Alaska,Prince of Wales-Hyder Census Area,975,15.9,0,0,0,0
Alaska,Sitka Borough,609,7.4,0,0,0,0
Alaska,Skagway Municipality,45,3.8,0,0,0,0
Alaska,Southeast Fairbanks Census Area,805,11.7,0,0,0,0
Alaska,Wrangell City and Borough,264,10.6,0,0,0,0
Alaska,Yakutat Borough,79,12.4,0,0,0,0
Alaska,Yukon-Koyukuk Census Area,"1,029",20.5,0,0,0,0
Arizona,Apache,"22,939",32.4,0,1,0,0
Arizona,Cochise,"17,815",14.6,0,1,0,0
Arizona,Coconino,"22,540",17.2,0,1,1,0
Arizona,Gila,"8,911",16.7,1,0,0,0
Arizona,Graham,"5,523",15.2,0,0,0,0
Arizona,Greenlee,776,8.4,0,0,0,0
Arizona,La Paz,"4,405",20.8,1,0,0,0
Arizona,Maricopa,"520,797",11.6,8,11,5,0
Arizona,Mohave,"32,550",15.3,1,1,0,0
Arizona,Navajo,"25,532",23.3,0,3,0,0
Arizona,Pima,"154,790",14.9,1,7,1,0
Arizona,Pinal,"50,810",11.1,4,0,0,0
Arizona,Santa Cruz,"7,810",16.8,0,0,0,0
Arizona,Yavapai,"25,610",10.8,3,2,0,0
Arizona,Yuma,"31,745",15.2,0,1,0,0
Arkansas,Arkansas,"2,940",17.2,0,1,0,0
Arkansas,Ashley,"3,279",17.1,0,0,0,0
Arkansas,Baxter,"6,013",14.4,0,1,0,0
Arkansas,Benton,"25,970",9.1,0,2,0,0
Arkansas,Boone,"5,255",14.1,0,1,0,0
Arkansas,Bradley,"2,156",20.6,1,0,0,0
Arkansas,Calhoun,798,16.2,0,0,0,0
Arkansas,Carroll,"3,935",14.1,1,0,0,0
Arkansas,Chicot,"2,467",26.8,0,0,0,0
Arkansas,Clark,"3,830",20.1,0,1,0,0
Arkansas,Clay,"2,577",18.1,0,0,0,0
Arkansas,Cleburne,"3,563",14.5,0,0,0,0
Arkansas,Cleveland,"1,086",13.8,0,0,0,0
Arkansas,Columbia,"3,857",18.3,0,1,0,0
Arkansas,Conway,"3,273",15.8,0,1,0,0
Arkansas,Craighead,"18,130",16.8,0,1,0,0
Arkansas,Crawford,"9,012",14.4,0,0,0,0
Arkansas,Crittenden,"10,671",22.9,0,1,0,0
Arkansas,Cross,"3,357",21.2,0,0,0,0
Arkansas,Dallas,"1,244",19.5,1,0,0,0
Arkansas,Desha,"2,507",22.8,0,0,0,0
Arkansas,Drew,"3,152",18.4,1,0,0,0
Arkansas,Faulkner,"14,653",12,0,1,0,0
Arkansas,Franklin,"2,692",15.3,0,0,0,0
Arkansas,Fulton,"2,077",17,0,0,0,0
Arkansas,Garland,"15,359",15.7,0,1,0,0
Arkansas,Grant,"1,809",9.9,0,0,0,0
Arkansas,Greene,"7,696",17.1,0,1,0,0
Arkansas,Hempstead,"3,914",18.7,0,0,0,0
Arkansas,Hot Spring,"4,709",14.9,0,1,0,0
Arkansas,Howard,"2,150",16.7,0,0,0,0
Arkansas,Independence,"5,499",15,0,1,0,0
Arkansas,Izard,"2,539",20.1,0,0,0,0
Arkansas,Jackson,"3,344",23.1,1,0,0,0
Arkansas,Jefferson,"11,303",18.9,0,1,0,0
Arkansas,Johnson,"4,465",17.3,0,1,0,0
Arkansas,Lafayette,"1,289",19.8,0,0,0,0
Arkansas,Lawrence,"3,006",19.2,0,0,0,0
Arkansas,Lee,"2,527",36.8,0,0,0,0
