store_name,address,state,county,lat,lng,service_level
Liv,"74-5565 Luhia St Kailua Kona, HI 96740",Hawaii,Hawaii,19.6483,-156,2
Malama Pregnancy Center of Maui,"520 Waine'e St
Lahaina, HI 96761",Hawaii,Maui,20.8691,-156.672,2
Planned Parenthood- Maui Health Center,140 Hoohana Street,Hawaii,Maui,20.8881,-156.464,4
Malama Pregnancy Center of Maui,"64 Central Ave
Wailuku, HI 96793",Hawaii,Maui,20.8898,-156.5,2
Planned Parenthood- Honolulu Health Center,1350 S. King Street,Hawaii,Honolulu,21.2989,-157.8411,4
Pearson Place Pregnancy Resource Center,"1145 Bishop St
Honolulu, HI 96813",Hawaii,Honolulu,21.3096,-157.86,2
A Place for Women in Waipio,"94-1044 Waipio Uka St
Waipahu, HI 96797",Hawaii,Honolulu,21.4121,-157.999,2
Aloha Pregnancy Care and Counseling Center,"45-1151 Kamehameha Hwy, Ste G
Kaneohe, HI 96744",Hawaii,Honolulu,21.4182,-157.802,2
Pregnancy Options Miami,"9000 SW 152nd St, Ste 105
Palmetto Bay, FL 33157",Florida,Miami-Dade,25.629,-80.3394,2
Grace Women's Care Center,"10112 SW 107th Ave
Miami, FL 33176",Florida,Miami-Dade,25.6744,-80.3681,2
Kendall Pregnancy Help Medical Clinic,"10100 SW 107th Ct
Miami, FL 33176",Florida,Miami-Dade,25.6749,-80.3692,2
Eve Women's Medical Center- Kendall Plaza,8603 S Dixie Hwy,Florida,Miami-Dade,25.6902,-80.3061,4
Pregnancy Help,"3410 SW 107 Ave
Miami, FL 33165",Florida,Miami-Dade,25.7373,-80.3681,2
Planned Parenthood- Jean Shehan Health Center,3119A Coral Way,Florida,Miami-Dade,25.7497,-80.2552,4
Flagler Pregnancy Help Medical Clinic,"4391 W Flagler St
Miami, FL  33134",Florida,Miami-Dade,25.7718,-80.268,2
University of Miami-Department of Obstetrics & Gynecology- Reproductive Health Services Clinic,1400 NW 12th Ave,Florida,Miami-Dade,25.7884,-80.2163,4
