id,store_name,store_number,contact_info,address,state,country,county,email,store_hours,dealer_website,image,additional_information,lat,lng,so_id
51012,Legacy Pregnancy Center,na,na,"847 Coffeen Ave
Sheridan, WY 82801",Wyoming,United States,Sheridan,na,na,na,na,na,44.7883,-106.945,2
51011,Inside Connection,na,na,"2712 Commercial Way
Rock Springs, WY 82901",Wyoming,United States,Sweetwater,na,na,na,na,na,41.5825,-109.254,2
51010,ABBA's House Pregnancy Medical Clinic,na,na,"2420 Watt Ct
Riverton, WY 82501",Wyoming,United States,Fremont,na,na,na,na,na,43.0304,-108.422,2
51009,Serenity Pregnancy Resource Center,na,na,"215 S Division St
Powell, WY 82435",Wyoming,United States,Park,na,na,na,na,na,44.7514,-108.765,2
51008,Heart to Heart Pregnancy Resource Clinic,na,na,"920 E Sheridan St
Laramie, WY 82070",Wyoming,United States,Albany,na,na,na,na,na,41.3065,-105.585,2
51007,Turning Point Pregnancy Resource Center,na,na,"250 E Broadway
Jackson, WY 83001",Wyoming,United States,Teton,na,na,na,na,na,43.4794,-110.758,2
51006,Women's Resource Center of Northeast Wyoming,na,na,"706 W 8th St
Gillette, WY 82716",Wyoming,United States,Campbell,na,na,na,na,na,44.2878,-105.512,2
51005,Azar House Pregnancy Resource Center,na,na,"107736 Hwy 89, Rm 14
Etna, WY 83118",Wyoming,United States,Lincoln,na,na,na,na,na,43.0307,-111.011,2
51004,Serenity Pregnancy Resource Center,na,na,"1826 Stampede Ave Cody, WY 82414",Wyoming,United States,Park,na,na,na,na,na,44.5186,-109.052,2
51003,LifeChoice Pregnancy Care Center,na,na,"623 W 20th St
Cheyenne, WY 82001",Wyoming,United States,Laramie,na,na,na,na,na,41.1341,-104.823,2
51002,True Care Women's Resource Center,na,na,"1746 S Poplar St
Casper, WY 82601",Wyoming,United States,Natrona,na,na,na,na,na,42.8327,-106.338,2
51001,Hope Choice Pregnancy Centers and Mentoring Programs,na,na,"209 E Magnolia St
Pinedale, WY 82941",Wyoming,United States,Sublette,na,na,na,na,na,42.8676,-109.858,2
50064,The Hope Center,na,na,"1316 W Lawrence St Appleton, WI 54914",Wisconsin,United States,Outagamie,na,na,na,na,na,44.2608,-88.4267,1
50063,Chequamegon Pregnancy Center,na,na,"200 Chapple Ave Ashland, WI 54806",Wisconsin,United States,Ashland,na,na,na,na,na,46.5882,-90.8903,2
50062,Bay Area Life Center,na,na,"743 S Monroe Ave Green Bay, WI 54301",Wisconsin,United States,Brown,na,na,na,na,na,44.5035,-88.0159,1
50061,Care Net Pregnancy Center of Green County,na,na,"1512 11th St Monroe, WI 53566",Wisconsin,United States,Green,na,na,na,na,na,42.601,-89.6405,1
50060,Options for Women Tri-County Pregnancy Care Center,na,na,"215 1/2 Cascade St Osceola, WI 54020",Wisconsin,United States,Polk,na,na,na,na,na,45.3215,-92.7057,1
