State,All Women
Alabama,0.74
Alaska,0.63
Arizona,0.68
Arkansas,0.7
California,0.68
Colorado,0.67
Connecticut,0.78
Delaware,0.74
District of Columbia,0.74
Florida,0.74
Georgia,0.71
Hawaii,0.78
Idaho,0.65
Illinois,0.74
Indiana,0.69
Iowa,0.76
Kansas,0.69
Kentucky,0.71
Louisiana,0.78
Maine,0.77
Maryland,0.75
Massachusetts,0.8
Michigan,0.74
Minnesota,0.73
Mississippi,0.71
Missouri,0.71
Montana,0.68
Nebraska,0.7
Nevada,0.69
New Hampshire,0.74
New Jersey,0.73
New Mexico,0.65
New York,0.77
North Carolina,0.75
North Dakota,0.75
Ohio,0.72
Oklahoma,0.68
Oregon,0.72
Pennsylvania,0.74
Rhode Island,0.81
South Carolina,0.76
South Dakota,0.75
Tennessee,0.73
Texas,0.69
Utah,0.64
Vermont,0.68
Virginia,0.75
Washington,0.68
West Virginia,0.74
Wisconsin,0.75
Wyoming,0.64
