State,maternalMortalityRate
Delaware,
New Hampshire,
Vermont,
California,4
Massachusetts,8.4
Nevada,8.4
Connecticut,10.5
Colorado,11.5
Minnesota,11.8
Alaska,12.4
Oregon,12.8
Hawaii,12.9
West Virginia,12.9
Wisconsin,13.7
Washington,13.8
Illinois,14.7
Utah,16.5
Nebraska,18.2
Iowa,18.3
North Carolina,18.6
Pennsylvania,18.6
Kansas,18.9
Maine,18.9
New York,19.2
Ohio,19.2
Michigan,19.4
Maryland,19.7
Virginia,20
North Dakota,20.1
Mississippi,20.8
Montana,21
Oklahoma,21.1
New Mexico,21.5
Rhode Island,22.1
Florida,22.3
Kentucky,22.9
Idaho,23.8
South Dakota,24.5
Wyoming,26.3
Tennessee,26.7
Arizona,27.3
South Carolina,27.9
Texas,34.5
Missouri,34.6
Alabama,36.4
Arkansas,37.5
New Jersey,38.1
Indiana,43.6
Georgia,48.4
Louisiana,58.1
