State,State Requires Coverage of Prescription Contraception,State Requires Coverage of Over-the-counter Methods,State Requires Coverage of Male Sterilization,State Requires Coverage of Female Sterilization,State Prohibits cost sharing
Alabama,No,No,No,No,No
Alaska,No,No,No,No,No
Arizona,Yes,No,No,No,No
Arkansas,Yes,No,No,No,No
California,Yes,Yes,No,Yes,Yes
Colorado,Yes,No,No,No,No
Connecticut,Yes,Yes,No,Yes,Yes
Delaware,Yes,Yes,No,Yes,Yes
District of Columbia,Yes,Yes,No,Yes,Yes
Florida,No,No,No,No,No
Georgia,Yes,No,No,No,No
Hawaii,Yes,No,No,No,No
Idaho,No,No,No,No,No
Illinois,Yes,Yes,Yes,Yes,Yes
Indiana,No,No,No,No,No
Iowa,Yes,No,No,No,No
Kansas,No,No,No,No,No
Kentucky,No,No,No,No,No
Louisiana,No,No,No,No,No
Maine,Yes,No,No,Yes,Yes
Maryland,Yes,Yes,Yes,No,Yes
Massachusetts,Yes,Yes,No,Yes,Yes
Michigan,Yes,No,No,No,No
Minnesota,No,No,No,No,No
Mississippi,No,No,No,No,No
Missouri,Yes,No,No,No,No
Montana,Yes,No,No,No,No
Nebraska,No,No,No,No,No
Nevada,Yes,Yes,No,Yes,Yes
New Hampshire,Yes,No,No,No,Yes
New Jersey,Yes,Yes,Yes,Yes,Yes
New Mexico,Yes,Yes,Yes,Yes,Yes
New York,Yes,Yes,Yes,Yes,Yes
North Carolina,Yes,No,No,No,No
North Dakota,No,No,No,No,No
Ohio,No,No,No,No,No
Oklahoma,No,No,No,No,No
Oregon,Yes,Yes,Yes,Yes,Yes
Pennsylvania,No,No,No,No,No
Rhode Island,Yes,No,No,No,No
South Carolina,No,No,No,No,No
South Dakota,No,No,No,No,No
Tennessee,No,No,No,No,No
Texas,No,No,No,No,No
Utah,No,No,No,No,No
Vermont,Yes,No,Yes,Yes,Yes
Virginia,Yes,No,No,Yes,Yes
Washington,Yes,Yes,Yes,Yes,Yes
West Virginia,Yes,No,No,No,No
Wisconsin,Yes,No,No,No,No
Wyoming,No,No,No,No,No
