State,Maternal_Mortality
Alabama,109.2858258
Alaska,84.48621819
Arizona,87.07292032
Arkansas,124.8191541
California,32.12304793
Colorado,43.90672261
Connecticut,53.79557681
Delaware,48.1139338
District of Columbia,78.88212756
Florida,67.24821268
Georgia,88.18270149
Hawaii,44.345898
Idaho,51.08438211
Illinois,40.51073534
Indiana,86.4963875
Iowa,38.76612948
Kansas,66.90714452
Kentucky,121.9323372
Louisiana,97.68350544
Maine,25.99878672
Maryland,56.8894594
Massachusetts,45.16167881
Michigan,60.53385091
Minnesota,29.94814243
Mississippi,93.02850055
Missouri,77.93894782
Montana,74.13585395
Nebraska,86.45177226
Nevada,59.43006567
New Hampshire,16.96208973
New Jersey,73.50388958
New Mexico,45.65584623
New York,63.53361549
North Carolina,62.53747965
North Dakota,69.58942241
Ohio,65.79405686
Oklahoma,75.59372572
Oregon,45.20341537
Pennsylvania,45.90911525
Rhode Island,49.5000495
South Carolina,87.96495763
South Dakota,63.86861314
Tennessee,105.4785294
Texas,69.800918
Utah,37.19749683
Vermont,19.48178453
Virginia,68.60230715
Washington,62.58575452
West Virginia,69.27206604
Wisconsin,28.05558306
Wyoming,48.95561358
