State,All Women
Alabama,0.12
Alaska,0.12
Arizona,0.11
Arkansas,0.12
California,0.09
Colorado,0.11
Connecticut,0.07
Delaware,0.09
District of Columbia,0.06
Florida,0.14
Georgia,0.16
Hawaii,0.06
Idaho,0.1
Illinois,0.1
Indiana,0.1
Iowa,0.07
Kansas,0.1
Kentucky,0.09
Louisiana,0.09
Maine,0.08
Maryland,0.08
Massachusetts,0.06
Michigan,0.08
Minnesota,0.08
Mississippi,0.13
Missouri,0.12
Montana,0.09
Nebraska,0.09
Nevada,0.12
New Hampshire,0.09
New Jersey,0.1
New Mexico,0.09
New York,0.08
North Carolina,0.12
North Dakota,0.07
Ohio,0.09
Oklahoma,0.15
Oregon,0.11
Pennsylvania,0.08
Rhode Island,0.07
South Carolina,0.12
South Dakota,0.07
Tennessee,0.12
Texas,0.17
Utah,0.1
Vermont,0.07
Virginia,0.1
Washington,0.09
West Virginia,0.1
Wisconsin,0.08
Wyoming,0.12
