State,All Women
Alabama,0.13
Alaska,0.23
Arizona,0.19
Arkansas,0.13
California,0.19
Colorado,0.17
Connecticut,0.1
Delaware,0.12
District of Columbia,0.15
Florida,0.2
Georgia,0.17
Hawaii,0.1
Idaho,0.15
Illinois,0.15
Indiana,0.12
Iowa,0.1
Kansas,0.13
Kentucky,0.12
Louisiana,0.12
Maine,0.08
Maryland,0.1
Massachusetts,0.07
Michigan,0.08
Minnesota,0.15
Mississippi,0.13
Missouri,0.15
Montana,0.17
Nebraska,0.12
Nevada,0.24
New Hampshire,0.07
New Jersey,0.13
New Mexico,0.19
New York,0.15
North Carolina,0.14
North Dakota,0.19
Ohio,0.13
Oklahoma,0.16
Oregon,0.14
Pennsylvania,0.09
Rhode Island,0.08
South Carolina,0.14
South Dakota,0.13
Tennessee,0.14
Texas,0.25
Utah,0.17
Vermont,0.08
Virginia,0.15
Washington,0.16
West Virginia,0.11
Wisconsin,0.09
Wyoming,0.2
