"Title: Population Distribution by Sex | KFF"
"Timeframe: 2019"
"Location","Male","Female","Total",Footnotes
"United States","156000000","163000000","319000000","1"
"Alabama","2295100","2472000","4767100"
"Alaska","355600","346100","701700"
"Arizona","3497700","3600300","7098000"
"Arkansas","1415100","1507400","2922500"
"California","19076200","19566500","38642700"
"Colorado","2809700","2802000","5611800"
"Connecticut","1682100","1771300","3453300"
"Delaware","453500","486800","940300"
"District of Columbia","318700","352600","671300"
"Florida","10177800","10814200","20992000"
"Georgia","4959300","5334700","10294000"
"Hawaii","655800","687300","1343000"
"Idaho","874300","876600","1750900"
"Illinois","6025700","6336600","12362300"
"Indiana","3192100","3319700","6511800"
"Iowa","1513500","1546700","3060200"
"Kansas","1378600","1432600","2811200"
"Kentucky","2117600","2201700","4319300"
"Louisiana","2163700","2334900","4498600"
"Maine","629800","672500","1302300"
"Maryland","2821200","3054300","5875500"
"Massachusetts","3229600","3421200","6650800"
"Michigan","4785800","4979800","9765600"
"Minnesota","2734100","2780700","5514800"
"Mississippi","1363200","1503900","2867100"
"Missouri","2892200","3047700","5939900"
"Montana","518300","521100","1039400"
"Nebraska","931100","942400","1873600"
"Nevada","1506600","1523100","3029700"
"New Hampshire","648900","665100","1314000"
"New Jersey","4238600","4460800","8699400"
"New Mexico","995600","1045800","2041400"
"New York","9154400","9754000","18908300"
"North Carolina","4871900","5267800","10139700"
"North Dakota","369100","361900","731000"
"Ohio","5548200","5803400","11351500"
"Oklahoma","1874100","1952900","3826900"
"Oregon","2031900","2097000","4128900"
"Pennsylvania","6024900","6352800","12377600"
"Rhode Island","497000","520100","1017100"
"South Carolina","2379700","2604500","4984200"
"South Dakota","429200","422100","851300"
"Tennessee","3214700","3426200","6640900"
"Texas","13897800","14388400","28286200"
"Utah","1576800","1577300","3154100"
"Vermont","295700","302400","598100"
"Virginia","3959400","4225600","8185100"
"Washington","3689700","3734200","7423900"
"West Virginia","854100","884900","1739000"
"Wisconsin","2800100","2877000","5677100"
"Wyoming","286200","276500","562700"
"Puerto Rico","1498000","1666400","3164500"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Sex (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-sex-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
