"Title: Women Ages 18-64 Who Report Having a Pap Smear within the Past Three Years by Race/Ethnicity | KFF"
"Timeframe: 2018-2020"
"Location","All Women",Footnotes
"United States","0.73","1"
"Alabama","0.74"
"Alaska","0.65"
"Arizona","0.69"
"Arkansas","0.68"
"California","0.74"
"Colorado","0.69"
"Connecticut","0.80"
"Delaware","0.75"
"District of Columbia","0.80"
"Florida","0.73"
"Georgia","0.73"
"Hawaii","0.73"
"Idaho","0.64"
"Illinois","0.73"
"Indiana","0.69"
"Iowa","0.70"
"Kansas","0.68"
"Kentucky","0.72"
"Louisiana","0.75"
"Maine","0.73"
"Maryland","0.76"
"Massachusetts","0.77"
"Michigan","0.73"
"Minnesota","0.71"
"Mississippi","0.77"
"Missouri","0.71"
"Montana","0.67"
"Nebraska","0.69"
"Nevada","0.69"
"New Hampshire","0.72"
"New Jersey","0.78"
"New Mexico","0.69"
"New York","0.78"
"North Carolina","0.75"
"North Dakota","0.66"
"Ohio","0.71"
"Oklahoma","0.67"
"Oregon","0.72"
"Pennsylvania","0.74"
"Rhode Island","0.78"
"South Carolina","0.71"
"South Dakota","0.70"
"Tennessee","0.72"
"Texas","0.70"
"Utah","0.64"
"Vermont","0.70"
"Virginia","0.75"
"Washington","0.68"
"West Virginia","0.72"
"Wisconsin","0.72"
"Wyoming","0.64"
"Guam","0.66"
"Puerto Rico","0.78"

"Notes"
"U.S. Preventive Services Task Force recommends pap smears at least every three years in women who have been sexually active and have a cervix."
""
"Data based on the Behavioral Risk Factor Surveillance System (BRFSS), an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. For more information about BRFSS, go to [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"Kaiser Family Foundation analysis of the Center for Disease Control and Prevention (CDC)'s Behavioral Risk Factor Surveillance System (BRFSS) 2020 Survey Results."

"Definitions"
"*NSD:* Not sufficient data."


Footnotes
"1. US totals exclude data from the territories."
