State,Abortion_Status,Total_Community_Health_Centers,Uninsured,Total_Insured,Maternal_Mortality,Population,No_Doctor_Visits,Mammogram,No_Provider,Pap_Smear,Prescription_Contraception,OTC_Methods,Male_Sterilization,Female_Sterilization,Cost_Sharing,Teen_Births
Alabama,Abortion Ban In Effect,17,165700,1462900,109.28582580186307,4767100,0.12,0.74,0.13,0.74,No,No,No,No,No,24.8
Alaska,Abortion Available,27,29200,207200,84.48621818565846,701700,0.12,0.63,0.23,0.65,No,No,No,No,No,17.7
Arizona,Status of pre-Roe ban unclear,23,309000,2132900,87.07292032177992,7098000,0.11,0.68,0.19,0.69,Yes,No,No,No,No,16.6
Arkansas,Abortion Ban In Effect,12,83800,865900,124.8191540665513,2922500,0.12,0.7,0.13,0.68,Yes,No,No,No,No,27.8
California,Abortion Available,175,1034300,11885100,32.123047929967,38642700,0.09,0.68,0.19,0.74,Yes,Yes,No,Yes,Yes,11.0
Colorado,Abortion Available,19,204300,1758600,43.906722607083616,5611800,0.11,0.67,0.17,0.69,Yes,No,No,No,No,12.5
Connecticut,Abortion Available,16,58100,1038000,53.795576808129105,3453300,0.07,0.78,0.1,0.8,Yes,Yes,No,Yes,Yes,7.6
Delaware,Abortion Available,3,24800,295800,48.1139337952271,940300,0.09,0.74,0.12,0.75,Yes,Yes,No,Yes,Yes,14.6
District of Columbia,Abortion Available,8,7600,251600,78.88212756366914,671300,0.06,0.74,0.15,0.8,Yes,Yes,No,Yes,Yes,15.6
Florida,"Abortion available, pre-viability gestational limit in effect",47,1011800,6381600,67.24821267604962,20992000,0.14,0.74,0.2,0.73,No,No,No,No,No,15.2
Georgia,6 week LMP ban currently in effect,35,586000,3356300,88.18270149339038,10294000,0.16,0.71,0.17,0.73,Yes,No,No,No,No,18.2
Hawaii,Abortion Available,14,18900,379800,44.34589800443459,1343000,0.06,0.78,0.1,0.73,Yes,No,No,No,No,13.0
Idaho,"State abortion ban/restriction not yet implemented, abortion currently available",14,78900,535000,51.08438211117819,1750900,0.1,0.65,0.15,0.64,No,No,No,No,No,14.6
Illinois,Abortion Available,45,328700,3731700,40.51073534486639,12362300,0.1,0.74,0.15,0.73,Yes,Yes,Yes,Yes,Yes,13.6
Indiana,"Abortion available, pre-viability gestational limit in effect",27,131100,1957600,86.49638750381601,6511800,0.1,0.69,0.12,0.69,No,No,No,No,No,18.7
Iowa,"Abortion available, pre-viability gestational limit in effect",14,72800,927300,38.76612947887246,3060200,0.07,0.76,0.1,0.7,Yes,No,No,No,No,13.3
Kansas,"Abortion available, pre-viability gestational limit in effect",19,93200,827300,66.90714451943217,2811200,0.1,0.69,0.13,0.68,No,No,No,No,No,18.1
Kentucky,Abortion Ban In Effect,25,101400,1305500,121.93233723000697,4319300,0.09,0.71,0.12,0.72,No,No,No,No,No,23.8
Louisiana,Abortion Ban In Effect,36,133400,1376800,97.68350544236672,4498600,0.09,0.78,0.12,0.75,No,No,No,No,No,25.7
Maine,Abortion Available,18,24400,398100,25.998786723286244,1302300,0.08,0.77,0.08,0.73,Yes,No,No,Yes,Yes,10.6
Maryland,Abortion Available,17,91400,1838500,56.88945940426525,5875500,0.08,0.75,0.1,0.76,Yes,Yes,Yes,No,Yes,13.1
Massachusetts,Abortion Available,37,75000,2146900,45.1616788101403,6650800,0.06,0.8,0.07,0.77,Yes,Yes,No,Yes,Yes,6.1
Michigan,Abortion Available,39,126300,2918800,60.53385091377289,9765600,0.08,0.74,0.08,0.73,Yes,No,No,No,No,13.5
Minnesota,Abortion Available,16,107600,1650900,29.948142427060514,5514800,0.08,0.73,0.15,0.71,No,No,No,No,No,9.1
Mississippi,Abortion Ban In Effect,20,117200,884200,93.02850054971387,2867100,0.13,0.71,0.13,0.77,No,No,No,No,No,27.9
Missouri,Abortion Ban In Effect,28,202800,1773100,77.93894782420438,5939900,0.12,0.71,0.15,0.71,Yes,No,No,No,No,18.8
Montana,Abortion Available,14,26300,300200,74.13585395236771,1039400,0.09,0.68,0.17,0.67,Yes,No,No,No,No,13.2
Nebraska,"Abortion available, pre-viability gestational limit in effect",7,53000,558300,86.45177226133136,1873600,0.09,0.7,0.12,0.69,No,No,No,No,No,15.1
Nevada,Abortion Available,8,116600,939300,59.43006567022257,3029700,0.12,0.69,0.24,0.69,Yes,Yes,No,Yes,Yes,16.8
New Hampshire,Abortion Available,10,19300,379800,16.962089729454668,1314000,0.09,0.74,0.07,0.72,Yes,No,No,No,Yes,6.6
New Jersey,Abortion Available,23,208000,2620400,73.50388958082365,8699400,0.1,0.73,0.13,0.78,Yes,Yes,Yes,Yes,Yes,9.2
New Mexico,Abortion Available,16,83500,589200,45.65584623110989,2041400,0.09,0.65,0.19,0.69,Yes,Yes,Yes,Yes,Yes,21.9
New York,Abortion Available,63,258400,5854500,63.53361549264826,18908300,0.08,0.77,0.15,0.78,Yes,Yes,Yes,Yes,Yes,10.0
North Carolina,Abortion Available,39,397100,3231100,62.53747965390216,10139700,0.12,0.75,0.14,0.75,Yes,No,No,No,No,17.3
North Dakota,"State abortion ban/restriction not yet implemented, abortion currently available",4,17900,212500,69.58942240779402,731000,0.07,0.75,0.19,0.66,No,No,No,No,No,13.7
Ohio,6 week LMP ban currently in effect,51,241800,3353800,65.79405686154608,11351500,0.09,0.72,0.13,0.71,No,No,No,No,No,17.6
Oklahoma,Abortion Ban In Effect,21,241200,1135800,75.59372572076518,3826900,0.15,0.68,0.16,0.67,No,No,No,No,No,25.0
